Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,Residualsres.,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Reduction in Area,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Fracture Toughness,Shear Strength,Compressive (Crushing) Strength,Curie Temperature,Rockwell C Hardness,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Rockwell B Hardness,Calomel Potential,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
EN-1.4857-GX40NiCrSi35-26-Cast-Stainless-Steel,200,6.7,0.28,78,500,250,330,1370,1320,480,13,16,1.7,2,34,7.9,5.7,81,220,28,150,14,25,18,18,3.4,11,31.4 to 41.7,33 to 36,0 to 2.0,0 to 0.5,1.0 to 2.5,NA,0.3 to 0.5,24 to 27,NA,0 to 0.040,0 to 0.030,NA,26,NA,NA,NA,NA,NA,150,120,NA,1100,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4859-GX10NiCrSiNb32-20-Cast-Stainless-Steel,200,23,0.28,76,490,210,310,1410,1360,470,13,16,1.7,1.9,36,8,6.2,88,190,91,110,14,24,17,17,3.4,11,40.3 to 49,31 to 33,0 to 2.0,0 to 0.5,0.5 to 1.5,NA,0.050 to 0.15,19 to 21,NA,0 to 0.040,0 to 0.030,NA,21,0.5 to 1.5,NA,NA,NA,NA,140,140,NA,1050,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4865-GX40NiCrSi38-19-Cast-Stainless-Steel,200,6.8,0.28,76,470,250,320,1380,1330,480,12,15,1.7,1.9,33,8,5.8,81,200,27,160,14,24,16,17,3.1,11,34.4 to 44.7,36 to 39,0 to 2.0,0 to 0.5,1.0 to 2.5,NA,0.3 to 0.5,18 to 21,NA,0 to 0.040,0 to 0.030,NA,20,NA,NA,NA,NA,NA,140,120,NA,1020,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4874-GX50NiCrCo20-20-20-Cast-Stainless-Steel,210,6.7,0.29,80,480,360,300,1450,1400,450,13,15,NA,NA,70,8.4,7.6,110,290,29,310,14,24,16,16,3.3,11,23 to 38.9,18 to 22,0 to 2.0,2.5 to 3.0,0 to 1.0,NA,0.35 to 0.65,19 to 22,NA,0 to 0.040,0 to 0.030,NA,34,0.75 to 1.3,NA,NA,NA,NA,140,180,NA,1150,NA,2.0 to 3.0,560,NA,18.5 to 22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTM-A356-Grade-1-J03502-Cast-Carbon-Steel,190,23,0.29,73,550,280,250,1460,1420,470,51,12,7,8.1,1.8,7.8,1.4,18,45,110,210,13,24,20,19,14,18,98.3 to 100,NA,0 to 0.7,NA,0 to 0.6,NA,0 to 0.35,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,200,39,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTM-Grade-LCA-J02504-Cast-Carbon-Steel,190,27,0.29,72,500,230,250,1460,1410,470,49,12,7.2,8.3,1.9,7.8,1.4,19,46,110,150,13,24,18,18,14,16,96.9 to 100,NA,0 to 0.7,0 to 0.2,0 to 0.6,0 to 0.3,0 to 0.25,NA,NA,0 to 0.040,0 to 0.045,0 to 1.0,NA,NA,NA,NA,NA,NA,NA,170,40,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASTM-Grade-LCB-J03003-Cast-Carbon-Steel,190,27,0.29,72,540,270,250,1450,1410,470,51,12,7.1,8.2,1.8,7.8,1.4,18,45,120,200,13,24,19,19,14,17,97 to 100,NA,0 to 1.0,NA,0 to 0.6,NA,0 to 0.3,NA,NA,0 to 0.040,0 to 0.045,0 to 1.0,NA,NA,NA,NA,NA,NA,NA,200,40,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0420-GE200-Cast-Non-Alloy-Steel,190,28,0.29,73,460,220,250,1470,1430,470,53,12,7.8,8.9,1.7,7.9,1.4,18,45,110,130,13,24,16,17,14,14,99.935 to 100,NA,NA,NA,NA,NA,NA,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,400,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0446-GE240-Cast-Non-Alloy-Steel,190,25,0.29,73,530,270,250,1470,1430,470,53,12,7.8,8.9,1.7,7.9,1.4,18,45,110,190,13,24,19,18,14,17,99.935 to 100,NA,NA,NA,NA,NA,NA,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,400,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0449-GS200-Cast-Non-Alloy-Steel,190,28,0.29,73,460,220,250,1460,1420,470,52,12,7.1,8.1,1.8,7.8,1.4,18,46,110,130,13,24,16,17,14,14,98 to 100,NA,0 to 1.2,NA,0 to 0.6,NA,0 to 0.18,NA,NA,0 to 0.030,0 to 0.025,NA,NA,NA,NA,NA,NA,NA,NA,170,NA,400,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0454-GE270-Cast-Non-Alloy-Steel,190,25,0.29,73,550,300,250,1470,1430,470,53,12,7.8,8.9,1.7,7.9,1.4,18,45,110,240,13,24,19,19,14,17,99.935 to 100,NA,NA,NA,NA,NA,NA,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,220,NA,400,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0455-GS240-Cast-Non-Alloy-Steel,190,25,0.29,73,530,270,250,1460,1420,470,52,12,7.1,8.1,1.8,7.8,1.4,18,46,110,190,13,24,19,18,14,17,97.9 to 100,NA,0 to 1.2,NA,0 to 0.6,NA,0 to 0.23,NA,NA,0 to 0.030,0 to 0.025,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,400,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0558-GE300-Cast-Non-Alloy-Steel,190,18,0.29,73,640,340,250,1470,1430,470,53,12,7.8,8.9,1.7,7.9,1.4,18,45,99,300,13,24,22,21,14,20,99.935 to 100,NA,NA,NA,NA,NA,NA,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,400,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0591-GE320-Cast-Non-Alloy-Steel,190,19,0.29,73,620,360,250,1470,1430,470,53,12,7.8,8.9,1.7,7.9,1.4,18,45,100,340,13,24,22,20,14,20,99.935 to 100,NA,NA,NA,NA,NA,NA,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,400,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0597-GE360-Cast-Non-Alloy-Steel,190,18,0.29,73,670,400,250,1470,1430,470,53,12,7.8,8.9,1.7,7.9,1.4,18,45,100,430,13,24,24,22,14,21,99.935 to 100,NA,NA,NA,NA,NA,NA,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,270,NA,400,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0619-GP240GH-Cast-Non-Alloy-Steel,190,25,0.29,73,510,270,250,1460,1420,470,48,12,7.3,8.4,2.1,7.8,1.5,20,48,110,200,13,24,18,18,13,16,96.6 to 99.32,0 to 0.4,0.5 to 1.4,0 to 0.12,0 to 0.6,0 to 0.3,0.18 to 0.23,0 to 0.3,0 to 0.030,0 to 0.030,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,400,30 to 45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.0625-GP280GH-Cast-Non-Alloy-Steel,190,25,0.29,73,560,320,250,1460,1420,470,47,12,7.3,8.4,2.2,7.8,1.5,20,48,120,270,13,24,20,19,13,18,96.6 to 99.02,0 to 0.4,0.8 to 1.4,0 to 0.12,0 to 0.6,0 to 0.3,0.18 to 0.25,0 to 0.3,0 to 0.030,0 to 0.030,0 to 0.020,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,400,30 to 45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.1118-G24Mn6-Cast-Non-Alloy-Steel,190,14 to 21,0.29,73,700 to 750,460 to 630,250,1460,1420,470,51,12,7.2,8.3,1.9,7.8,1.4,19,48,97 to 130,550 to 1050,13,24,25 to 27,22 to 23,14,22 to 24,97.3 to 98.3,NA,1.5 to 1.8,NA,0 to 0.6,NA,0.2 to 0.25,NA,NA,0 to 0.020,0 to 0.015,NA,NA,NA,NA,NA,NA,NA,NA,320 to 400,NA,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.1131-G17Mn5-Cast-Non-Alloy-Steel,190,27,0.29,73,530,270,250,1460,1420,470,52,12,7.1,8.2,1.9,7.8,1.4,19,47,120,200,13,24,19,18,14,17,97.6 to 98.9,NA,1.0 to 1.6,NA,0 to 0.6,NA,0.15 to 0.2,NA,NA,0 to 0.020,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,400,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.1165-G28Mn6-Cast-Non-Alloy-Steel,190,11 to 20,0.29,73,600 to 780,290 to 620,250,1460,1420,470,51,12,7.8,8.9,1.9,7.8,1.4,19,47,81 to 100,230 to 1010,13,24,21 to 28,20 to 24,14,19 to 25,97.2 to 98.6,NA,1.2 to 1.8,NA,0 to 0.6,NA,0.25 to 0.32,NA,NA,0 to 0.035,0 to 0.030,NA,NA,NA,NA,NA,NA,NA,NA,200 to 380,NA,400,31 to 40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CD3MCuN-ASTM-A890-Grade-1C-J93373-Cast-Stainless-Steel,200,29,0.27,80,790,500,300,1440,1390,480,15,13,2.2,2.5,20,7.8,3.9,54,180,200,620,15,25,28,24,4.1,22,58.2 to 65.9,5.6 to 6.7,0 to 1.2,2.9 to 3.8,0 to 1.1,1.4 to 1.9,0 to 0.030,24 to 26.7,NA,0 to 0.030,0 to 0.030,NA,41,NA,0.22 to 0.33,NA,NA,NA,NA,370,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CD3MN-ASTM-A890-Grade-4A-J92205-Cast-Stainless-Steel,200,29,0.27,79,710,460,300,1450,1400,480,16,13,2.2,2.5,18,7.8,3.6,50,160,180,530,14,25,25,23,4.3,20,62.6 to 71.9,4.5 to 6.5,0 to 1.5,2.5 to 3.5,0 to 1.0,0 to 1.0,0 to 0.030,21 to 23.5,NA,0 to 0.040,0 to 0.020,NA,35,NA,0.1 to 0.3,NA,NA,NA,NA,340,NA,1060,NA,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CD3MWCuN-ASTM-A890-Grade-6A-J93380-Cast-Stainless-Steel,200,29,0.27,80,790,500,300,1460,1410,470,16,13,2.2,2.5,22,7.9,4.2,58,180,200,620,14,25,28,24,4.2,22,56.6 to 65.3,6.5 to 8.5,0 to 1.5,3.0 to 4.0,0 to 1.0,0.5 to 1.0,0 to 0.030,24 to 26,NA,0 to 0.030,0 to 0.025,NA,42,NA,0.2 to 0.3,NA,NA,NA,NA,370,NA,1100,NA,0.5 to 1.0,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CD4MCu-ASTM-A890-Grade-1A-J93370-Cast-Stainless-Steel,200,18,0.27,79,770,550,300,1430,1380,480,17,13,2.2,2.5,18,7.8,3.5,49,180,130,760,14,25,28,24,4.5,21,59.9 to 66.3,4.8 to 6.0,0 to 1.0,1.8 to 2.3,0 to 1.0,2.8 to 3.3,0 to 0.040,24.5 to 26.5,NA,0 to 0.040,0 to 0.040,NA,32,NA,NA,NA,NA,NA,NA,340,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CD4MCuN-ASTM-A890-Grade-1B-J93372-Cast-Stainless-Steel,200,18,0.27,79,770,550,300,1420,1380,480,17,13,2.2,2.5,18,7.8,3.5,49,180,130,760,14,25,28,24,4.5,21,59.5 to 66.3,4.7 to 6.0,0 to 1.0,1.7 to 2.3,0 to 1.0,2.7 to 3.3,0 to 0.040,24.5 to 26.5,NA,0 to 0.040,0 to 0.040,NA,35,NA,0.1 to 0.25,NA,NA,NA,NA,340,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CD6MN-ASTM-A890-Grade-3A-J93371-Cast-Stainless-Steel,200,28,0.27,80,730,510,300,1440,1390,480,16,13,2.1,2.4,17,7.7,3.4,48,170,180,650,15,25,26,23,4.4,20,62.1 to 70.1,4.0 to 6.0,0 to 1.0,1.8 to 2.5,0 to 1.0,NA,0 to 0.060,24 to 27,NA,0 to 0.040,0 to 0.040,NA,36,NA,0.15 to 0.25,NA,NA,NA,NA,370,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CE3MN-ASTM-A890-Grade-5A-J93404-Cast-Stainless-Steel,210,20,0.27,81,770,590,300,1450,1410,470,15,13,2.2,2.5,21,7.8,4.2,58,180,140,840,15,25,27,24,4.1,21,58.1 to 65.9,6.0 to 8.0,0 to 1.5,4.0 to 5.0,0 to 1.0,NA,0 to 0.030,24 to 26,NA,0 to 0.040,0 to 0.040,NA,43,NA,0.1 to 0.3,NA,NA,NA,NA,380,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CE8MN-ASTM-A890-Grade-2A-J93345-Cast-Stainless-Steel,200,29,0.27,80,750,500,300,1440,1400,480,16,13,2.2,2.5,21,7.8,4.2,58,180,190,620,15,25,27,23,4.2,21,56 to 66.4,8.0 to 11,0 to 1.0,3.0 to 4.5,0 to 1.5,NA,0 to 0.080,22.5 to 25.5,NA,0 to 0.040,0 to 0.040,NA,40,NA,0.1 to 0.3,NA,NA,NA,NA,370,NA,1100,NA,NA,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.3940-GX2CrNiN18-13-Cast-Stainless-Steel,200,34,0.28,77,540,240,290,1420,1380,480,15,12,2.3,2.7,17,7.8,3.3,47,150,150,150,14,25,19,19,4.1,16,64.2 to 71.4,12 to 14,0 to 2.0,NA,0 to 1.0,NA,0 to 0.030,16.5 to 18.5,NA,0 to 0.035,0 to 0.020,NA,20,NA,0.1 to 0.2,NA,NA,NA,NA,190,NA,930,130,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.3955-GX12CrNi18-11-Cast-Stainless-Steel,200,23,0.28,77,520,220,290,1430,1380,480,15,12,2.4,2.7,16,7.8,3.2,45,140,95,130,14,25,18,18,4.1,15,65.5 to 73.5,10 to 12,0 to 2.0,0 to 0.75,0 to 1.0,NA,0 to 0.15,16.5 to 18.5,NA,0 to 0.045,0 to 0.030,NA,19,NA,NA,NA,NA,NA,NA,150,NA,930,90,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.3956-GX4CrNiMnN22-12-5-Cast-Stainless-Steel,200,27,0.28,79,650,330,300,1420,1380,480,NA,13,NA,NA,22,7.8,4.8,68,180,150,270,14,25,23,21,NA,18,51.9 to 62.1,11.5 to 13.5,4.0 to 6.0,1.5 to 3.0,0 to 1.0,NA,0 to 0.060,20.5 to 23.5,0.1 to 0.3,0 to 0.040,0 to 0.030,NA,34,0.1 to 0.3,0.2 to 0.4,NA,NA,NA,NA,240,NA,1080,NA,NA,460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.3960-Gx2CrNiMoN18-140-Cast-Stainless-Steel,200,34,0.28,78,590,270,290,1440,1400,470,15,12,2.2,2.6,21,7.9,4.1,57,160,170,190,14,25,21,20,3.9,17,60.2 to 67.9,13 to 15,0 to 2.0,2.5 to 3.0,0 to 1.0,NA,0 to 0.030,16.5 to 18.5,NA,0 to 0.035,0 to 0.020,NA,30,NA,0.15 to 0.25,NA,NA,NA,NA,220,NA,970,90,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4347-GX4CrNiN26-7-Cast-Stainless-Steel,200,23,0.27,79,660,480,300,1410,1370,490,15,13,2.1,2.4,16,7.7,3.1,44,170,140,570,15,25,24,22,4,19,62.2 to 69.4,5.5 to 7.5,0 to 1.5,NA,0 to 1.5,NA,0 to 0.050,25 to 27,NA,0 to 0.035,0 to 0.020,NA,28,NA,0.1 to 0.2,NA,NA,NA,NA,320,NA,1100,34,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4417-GX2CrNiMoN25-7-3-Cast-Stainless-Steel,200,25,0.27,81,730,550,300,1450,1410,470,17,13,2.2,2.5,21,7.9,4.1,57,180,170,730,15,25,26,23,4.6,20,56.7 to 66.9,6.0 to 8.5,0 to 1.5,3.0 to 4.0,0 to 1.0,0 to 1.0,0 to 0.030,24 to 26,NA,0 to 0.030,0 to 0.020,NA,41,NA,0.15 to 0.25,NA,NA,NA,NA,380,NA,1100,56,0 to 1.0,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4468-GX2CrNiMoN25-6-3-Cast-Stainless-Steel,200,25,0.27,80,730,550,300,1440,1400,480,17,13,2.2,2.5,19,7.8,3.8,53,180,170,730,15,25,26,23,4.6,20,59.7 to 67.4,5.5 to 7.0,0 to 2.0,2.5 to 3.5,0 to 1.0,NA,0 to 0.030,24.5 to 26.5,NA,0 to 0.035,0 to 0.025,NA,38,NA,0.12 to 0.25,NA,NA,NA,NA,380,NA,1100,56,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4469-GX2CrNiMoN26-7-4-Cast-Stainless-Steel,210,25,0.27,81,740,550,300,1450,1400,480,17,13,2.2,2.5,21,7.8,4.1,57,180,170,730,15,25,26,23,4.6,20,56.4 to 65.9,6.0 to 8.0,0 to 1.0,3.0 to 5.0,0 to 1.0,0 to 1.3,0 to 0.030,25 to 27,NA,0 to 0.035,0 to 0.025,NA,42,NA,0.12 to 0.22,NA,NA,NA,NA,380,NA,1100,56,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4470-GX2CrNiMoN22-5-3-Cast-Stainless-Steel,200,23,0.27,80,680,480,300,1450,1400,480,18,13,2.2,2.5,17,7.8,3.6,49,160,140,570,14,25,24,22,4.8,18,63.7 to 71.9,4.5 to 6.5,0 to 2.0,2.5 to 3.5,0 to 1.0,NA,0 to 0.030,21 to 23,NA,0 to 0.035,0 to 0.025,NA,34,NA,0.12 to 0.2,NA,NA,NA,NA,320,NA,1060,34,NA,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4474-GX4CrNiMoN26-5-2-Cast-Stainless-Steel,200,23,0.27,80,670,480,300,1430,1390,480,17,13,2.1,2.5,17,7.7,3.4,48,170,140,560,15,25,24,22,4.6,18,61.2 to 69.1,4.5 to 6.5,0 to 2.0,1.3 to 2.0,0 to 1.0,NA,0 to 0.050,25 to 27,NA,0 to 0.035,0 to 0.025,NA,34,NA,0.12 to 0.2,NA,NA,NA,NA,320,NA,1100,34,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4487-GX2CrNiN19-11-Cast-Stainless-Steel,200,34,0.28,77,560,260,290,1420,1380,480,16,12,2.2,2.6,16,7.8,3.1,44,150,160,170,14,25,20,19,4.2,16,64.7 to 72.9,9.0 to 12,0 to 1.5,NA,0 to 1.5,NA,0 to 0.030,18 to 20,NA,0 to 0.040,0 to 0.030,NA,22,NA,0.12 to 0.2,NA,NA,NA,NA,210,NA,960,90,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4490-GX2CrNiMoN19-11-2-Cast-Stainless-Steel,200,34,0.28,78,560,260,300,1440,1390,480,15,12,2.1,2.5,19,7.8,3.7,52,150,160,170,14,25,20,19,4.1,16,61.7 to 70.9,9.0 to 12,0 to 2.0,2.0 to 2.5,0 to 1.5,NA,0 to 0.030,18 to 20,NA,0 to 0.035,0 to 0.030,NA,29,NA,0.12 to 0.2,NA,NA,NA,NA,210,NA,990,90,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4508-GX2CrNiMoN19-11-3-Cast-Stainless-Steel,200,34,0.28,79,570,260,300,1450,1400,470,15,12,2.1,2.4,20,7.9,4,55,160,160,170,14,25,20,19,4.1,17,61.2 to 69.9,9.0 to 12,0 to 1.5,3.0 to 3.5,0 to 1.5,NA,0 to 0.030,18 to 20,NA,0 to 0.040,0 to 0.030,NA,32,NA,0.1 to 0.2,NA,NA,NA,NA,210,NA,1000,90,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4515-GX3CrNiMoCuN26-6-3-Cast-Stainless-Steel,200,25,0.27,80,730,550,300,1440,1390,480,16,13,2.2,2.5,19,7.8,3.8,53,180,170,730,15,25,26,23,4.3,20,58.4 to 66.6,5.5 to 7.0,0 to 2.0,2.5 to 3.5,0 to 1.0,0.8 to 1.3,0 to 0.030,24.5 to 26.5,NA,0 to 0.030,0 to 0.020,NA,38,NA,0.12 to 0.25,NA,NA,NA,NA,380,NA,1100,67,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4517-GX2CrNiMoCuN25-6-3-3-Cast-Stainless-Steel,200,25,0.27,79,730,550,300,1430,1390,480,17,13,2.2,2.5,20,7.8,3.8,53,180,170,740,14,25,26,23,4.6,20,56.7 to 65.1,5.0 to 7.0,0 to 1.5,2.5 to 3.5,0 to 1.0,2.8 to 3.5,0 to 0.030,24.5 to 26.5,NA,0 to 0.035,0 to 0.025,NA,38,NA,0.12 to 0.22,NA,NA,NA,NA,380,NA,1100,56,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4518-GX2CrNiMo19-11-3-Cast-Stainless-Steel,200,34,0.28,79,490,210,300,1450,1400,470,15,12,2.1,2.4,20,7.9,4,55,160,140,100,14,25,17,18,4.1,14,61.4 to 70,9.0 to 12,0 to 1.5,3.0 to 3.5,0 to 1.5,NA,0 to 0.030,18 to 20,NA,0 to 0.040,0 to 0.030,NA,30,NA,NA,NA,NA,NA,NA,160,NA,1000,90,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EN-1.4823-GX40CrNiSi27-4-Cast-Stainless-Steel,200,3.4,0.27,79,620,290,320,1400,1360,490,17,13,2,2.4,16,7.6,3,43,170,17,200,15,26,23,21,4.5,17,60.9 to 70.7,3.0 to 6.0,0 to 1.5,0 to 0.5,1.0 to 2.5,NA,0.3 to 0.5,25 to 28,NA,0 to 0.040,0 to 0.030,NA,27,NA,NA,NA,NA,NA,NA,130,NA,1100,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ACI-ASTM-CB30-J91803-Cast-Stainless-Steel,200,NA,0.28,77,500,230,290,1430,1380,480,21,11,2.5,3,10,7.7,2.3,33,130,NA,140,14,25,18,18,5.6,17,72.9 to 82,0 to 2.0,0 to 1.0,NA,0 to 1.5,0 to 1.2,0 to 0.3,18 to 21,NA,0 to 0.040,0 to 0.040,NA,20,NA,NA,NA,NA,NA,210,NA,NA,940,NA,NA,420,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
