Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,Residualsres.,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Reduction in Area,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Fracture Toughness,Shear Strength,Compressive (Crushing) Strength,Curie Temperature,Rockwell C Hardness,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Rockwell B Hardness,Calomel Potential,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
AWS-E80C-Ni1-or-E55C-Ni1-W21030-Weld-Metal,190,27,0.29,72,620,540,250,1460,1420,470,40,13,7.4,8.5,2.6,7.8,1.6,21,49,160,770,13,24,22,21,11,18,95.1 to 99.2,0.8 to 1.1,0 to 1.5,0 to 0.3,0 to 0.9,0 to 0.35,0 to 0.12,NA,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-Ni2-or-E55C-Ni2-Weld-Metal,190,27,0.29,72,620,540,250,1450,1410,470,52,13,7.5,8.6,3.3,7.8,1.6,22,51,160,770,13,24,22,21,14,18,93.8 to 98.3,1.8 to 2.8,0 to 1.5,NA,0 to 0.9,0 to 0.35,0 to 0.12,NA,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-Ni3-or-E55C-Ni3-W23030-Weld-Metal,190,27,0.29,72,630,530,260,1450,1410,470,51,13,7.4,8.5,3.9,7.8,1.7,23,53,160,740,13,24,22,21,14,19,92.8 to 97.3,2.8 to 3.8,0 to 1.5,NA,0 to 0.9,0 to 0.35,0 to 0.12,NA,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-W2-or-E55C-W2-Weld-Metal,190,25,0.29,72,620,540,260,1450,1410,470,39,13,7.5,8.7,2.6,7.8,1.5,20,51,150,770,13,24,22,21,10,18,94.9 to 98,0.4 to 0.8,0.5 to 1.3,NA,0.35 to 0.8,0.3 to 0.75,0 to 0.12,0.45 to 0.7,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E90C-B3-or-E62C-B3-W53030-Weld-Metal,190,19,0.29,73,710,600,260,1460,1420,470,41,13,7.7,8.8,4,7.8,1.8,24,59,130,970,13,24,25,23,11,21,93.4 to 96.4,0 to 0.2,0.4 to 1.0,0.9 to 1.2,0.25 to 0.6,0 to 0.35,0.050 to 0.12,2.0 to 2.5,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E90C-B9-or-E55C-B9-Weld-Metal,190,18,0.28,75,710,460,270,1460,1410,470,25,13,6.9,8,7,7.8,2.6,37,91,110,550,14,25,25,23,6.9,20,84.4 to 90.9,0 to 0.8,0 to 1.2,0.85 to 1.2,0 to 0.5,0 to 0.2,0.080 to 0.13,8.0 to 10.5,0.15 to 0.3,0 to 0.020,0 to 0.015,0 to 0.5,13,0.020 to 0.1,0.030 to 0.070,0 to 0.040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E90C-D2-or-E62C-D2-W19230-Weld-Metal,190,19,0.29,73,690,620,250,1460,1420,470,49,13,7.3,8.4,2.5,7.8,1.6,21,49,130,1010,13,24,25,22,13,20,95.5 to 98.6,NA,1.0 to 1.9,0.4 to 0.6,0 to 0.9,0 to 0.35,0 to 0.12,NA,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E90C-K3-or-E62C-K3-Weld-Metal,190,55,0.29,73,710,600,250,1460,1410,470,48,13,7.9,9,3.4,7.8,1.7,23,53,370,980,13,24,25,22,13,21,92.6 to 98.5,0.5 to 2.5,0.75 to 2.3,0.25 to 0.65,0 to 0.8,0 to 0.35,0 to 0.15,0 to 0.15,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER100S-1-or-ER69S-1-K10882-Weld-Metal,190,18,0.29,73,770,700,250,1460,1410,470,49,13,7.7,8.9,3.6,7.8,1.8,24,54,130,1290,13,24,27,24,13,23,93.5 to 96.9,1.4 to 2.1,1.3 to 1.8,0.25 to 0.55,0.2 to 0.55,0 to 0.25,0 to 0.080,0 to 0.3,0 to 0.050,0 to 0.010,0 to 0.010,0 to 0.5,NA,NA,NA,0 to 0.1,0 to 0.1,0 to 0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER110S-1-or-ER76S-1-K21015-Weld-Metal,190,17,0.29,73,870,740,250,1460,1410,470,47,13,7.7,8.8,4,7.8,1.8,25,55,140,1460,13,24,31,26,13,26,92.8 to 96.3,1.9 to 2.6,1.4 to 1.8,0.25 to 0.55,0.2 to 0.55,0 to 0.25,0 to 0.090,0 to 0.5,0 to 0.040,0 to 0.010,0 to 0.010,0 to 0.5,NA,NA,NA,0 to 0.1,0 to 0.1,0 to 0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER120S-1-or-ER83S-1-K21030-Weld-Metal,190,17,0.29,73,930,830,260,1460,1410,470,46,13,7.8,9,4.2,7.8,1.9,25,56,150,1850,13,24,33,27,13,27,92.4 to 96.1,2.0 to 2.8,1.4 to 1.8,0.3 to 0.65,0.25 to 0.6,0 to 0.25,0 to 0.1,0 to 0.6,0 to 0.030,0 to 0.010,0 to 0.010,0 to 0.5,NA,NA,NA,0 to 0.1,0 to 0.1,0 to 0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER70S-A1-or-ER49S-A1-K11235-Weld-Metal,190,22,0.29,73,590,450,260,1460,1420,470,50,13,7.2,8.3,2.5,7.8,1.5,20,48,120,540,13,24,21,20,14,17,96.1 to 99.3,0 to 0.2,0 to 1.3,0.4 to 0.65,0.3 to 0.7,0 to 0.35,0 to 0.12,NA,NA,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER70S-B2L-or-ER49S-B2L-K20500-Weld-Metal,190,22,0.29,73,590,450,260,1460,1420,470,40,13,7.5,8.6,3,7.8,1.6,21,54,120,530,13,24,21,20,11,17,95.3 to 97.6,0 to 0.2,0.4 to 0.7,0.4 to 0.65,0.4 to 0.7,0 to 0.35,0 to 0.050,1.2 to 1.5,NA,0 to 0.025,0 to 0.025,0 to 0.5,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-B2-or-ER55S-B2-K20900-Weld-Metal,190,21,0.29,73,620,540,260,1460,1420,470,40,13,7.5,8.6,3,7.8,1.6,21,54,130,760,13,24,22,21,11,18,95.2 to 97.5,0 to 0.2,0.4 to 0.7,0.4 to 0.65,0.4 to 0.7,0 to 0.35,0.070 to 0.12,1.2 to 1.5,NA,0 to 0.025,0 to 0.025,0 to 0.5,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-B3L-or-ER55S-B3L-K30560-Weld-Metal,190,19,0.29,74,630,530,260,1460,1420,470,41,13,7.7,8.9,4.1,7.8,1.8,23,60,120,730,13,24,22,21,11,18,93.6 to 96,0 to 0.2,0.4 to 0.7,0.9 to 1.2,0.4 to 0.7,0 to 0.35,0 to 0.050,2.3 to 2.7,NA,0 to 0.025,0 to 0.025,0 to 0.5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-ER80S-B6-or-ER55S-B6-S50280-Weld-Metal,190,19,0.29,74,620,540,260,1460,1410,470,40,13,8.2,9.5,4.7,7.8,1.8,24,71,110,750,14,25,22,21,11,18,90.6 to 94.7,0 to 0.6,0.4 to 0.7,0.45 to 0.65,0 to 0.5,0 to 0.35,0 to 0.1,4.5 to 6.0,NA,0 to 0.025,0 to 0.025,0 to 0.5,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
