,Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Shear Strength,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
1155,AISI-418-Alloy-615-S41800-Stainless-Steel,200.0,17.0,0.28,77.0,1100.0,850.0,270,1500,1460,470,25.0,10.0,2.8,3.1,15.0,8.0,2.9,41,110,170.0,1830.0,14.0,24.0,38.0,29.0,6.7,40.0,81.05,2.0,0.25,0.25,0.25,0.0,0.175,13.0,0.0,0.02,0.015,19.0,0.0,0.0,0.0,0.0,0.0,330.0,520.0,770.0,,3.0,390.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1156,AISI-420-S42000-Stainless-Steel,190.0,11.5,0.28,76.0,1205.0,845.0,280,1510,1450,480,27.0,10.0,3.0,3.5,7.5,7.7,2.0,28,100,109.0,2395.0,14.0,25.0,43.5,31.5,7.3,43.5,85.1,0.375,0.5,0.25,0.5,0.0,0.275,13.0,0.0,0.02,0.015,14.0,0.0,0.0,0.0,0.0,0.0,190.0,445.0,620.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,715.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157,AISI-420F-S42020-Stainless-Steel,190.0,18.0,0.28,76.0,740.0,430.0,270,1440,1390,480,25.0,10.0,3.1,3.7,7.0,7.7,2.0,28,100,120.0,480.0,14.0,25.0,27.0,23.0,6.8,27.0,85.0,0.0,0.65,0.25,0.5,0.0,0.35,13.0,0.0,0.03,0.25,14.0,0.0,0.0,0.0,0.0,0.0,230.0,270.0,760.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1158,AISI-422-Alloy-616-S42200-Stainless-Steel,200.0,16.0,0.28,76.0,995.0,770.0,270,1480,1470,470,24.0,10.0,4.7,5.3,11.0,7.9,3.1,44,100,145.0,1525.0,14.0,25.0,35.0,28.0,6.4,36.0,83.85,0.75,0.75,1.1,0.25,0.0,0.225,11.75,0.25,0.0125,0.0125,17.0,0.0,0.0,0.0,0.0,0.0,295.0,455.0,650.0,,1.1,380.0,0.0,0.0,0.0,0.0,0.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1159,AISI-431-S43100-Stainless-Steel,200.0,16.0,0.28,77.0,1135.0,875.0,280,1510,1450,480,26.0,12.0,2.6,3.0,9.0,7.7,2.2,31,120,160.0,2020.0,14.0,25.0,41.0,31.5,7.0,35.5,81.0,1.9,0.5,0.0,0.5,0.0,0.1,16.0,0.0,0.02,0.015,16.0,0.0,0.0,0.0,0.0,0.0,250.0,520.0,850.0,,0.0,400.0,0.0,0.0,0.0,0.0,0.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1160,AISI-440A-S44002-Stainless-Steel,200.0,12.5,0.28,77.0,1260.0,1035.0,280,1480,1370,480,23.0,10.0,2.5,2.9,9.0,7.7,2.2,31,120,103.5,,14.0,25.0,45.5,33.0,6.2,45.5,80.9,0.0,0.5,0.375,0.5,0.0,0.675,17.0,0.0,0.02,0.0075,18.0,0.0,0.0,0.0,0.0,0.0,,530.0,760.0,,0.0,400.0,0.0,0.0,0.0,0.0,0.0,745.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1161,AISI-440B-S44003-Stainless-Steel,200.0,10.5,0.28,77.0,1335.0,1145.0,280,1480,1370,480,23.0,10.0,2.5,2.9,9.0,7.7,2.2,31,120,83.5,,14.0,25.0,48.5,34.5,6.1,48.5,80.75,0.0,0.5,0.375,0.5,0.0,0.875,17.0,0.0,0.02,0.0075,18.0,0.0,0.0,0.0,0.0,0.0,,555.0,870.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1162,AISI-440C-S44004-Stainless-Steel,200.0,8.0,0.28,76.0,1340.0,1175.0,280,1480,1370,480,22.0,10.0,2.4,2.8,9.0,7.7,2.2,31,120,63.5,,14.0,25.0,48.5,34.5,6.0,48.5,80.55,0.0,0.5,0.375,0.5,0.0,1.1,17.0,0.0,0.02,0.0075,18.0,0.0,0.0,0.0,0.0,0.0,,550.0,870.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1163,ASTM-A182-Grade-F6b-S41026-Stainless-Steel,190.0,18.0,0.28,76.0,850.0,710.0,280,1450,1400,480,25.0,10.0,2.8,3.2,8.0,7.8,2.2,30,100,140.0,1280.0,14.0,25.0,30.0,26.0,6.7,31.0,84.15,1.5,0.5,0.5,0.5,0.25,0.075,12.5,0.0,0.01,0.01,14.0,0.0,0.0,0.0,0.0,0.0,260.0,440.0,750.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1164,EN-1.3541-X47Cr14-Stainless-Bearing-Steel,190.0,,0.28,76.0,710.0,,270,1440,1390,480,30.0,10.0,3.0,3.5,7.0,7.7,1.9,27,100,,,14.0,25.0,26.0,23.0,8.1,26.0,85.45,0.0,0.5,0.0,0.5,0.0,0.46499999999999997,13.5,0.0,0.02,0.015,14.0,0.0,0.0,0.0,0.0,0.0,220.0,,770.0,,0.0,390.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
