,Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Shear Strength,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
10,AWS-E80C-Ni1-or-E55C-Ni1-W21030-Weld-Metal,190.0,27.0,0.29,72.0,620.0,540.0,250,1460,1420,470,40.0,13.0,7.4,8.5,2.6,7.8,1.6,21,49,160.0,770.0,13.0,24.0,22.0,21.0,11.0,18.0,97.15,0.9500000000000001,0.75,0.15,0.45,0.175,0.06,0.0,0.015,0.0125,0.015,11.54,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,AWS-E80C-Ni2-or-E55C-Ni2-Weld-Metal,190.0,27.0,0.29,72.0,620.0,540.0,250,1450,1410,470,52.0,13.0,7.5,8.6,3.3,7.8,1.6,22,51,160.0,770.0,13.0,24.0,22.0,21.0,14.0,18.0,96.05,2.3,0.75,0.0,0.45,0.175,0.06,0.0,0.015,0.0125,0.015,10.08,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,AWS-E80C-Ni3-or-E55C-Ni3-W23030-Weld-Metal,190.0,27.0,0.29,72.0,630.0,530.0,260,1450,1410,470,51.0,13.0,7.4,8.5,3.9,7.8,1.7,23,53,160.0,740.0,13.0,24.0,22.0,21.0,14.0,19.0,95.05,3.3,0.75,0.0,0.45,0.175,0.06,0.0,0.015,0.0125,0.015,8.620000000000001,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,AWS-E80C-W2-or-E55C-W2-Weld-Metal,190.0,25.0,0.29,72.0,620.0,540.0,260,1450,1410,470,39.0,13.0,7.5,8.7,2.6,7.8,1.5,20,51,150.0,770.0,13.0,24.0,22.0,21.0,10.0,18.0,96.45,0.6000000000000001,0.9,0.0,0.575,0.525,0.06,0.575,0.015,0.0125,0.015,7.16,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,AWS-E90C-B3-or-E62C-B3-W53030-Weld-Metal,190.0,19.0,0.29,73.0,710.0,600.0,260,1460,1420,470,41.0,13.0,7.7,8.8,4.0,7.8,1.8,24,59,130.0,970.0,13.0,24.0,25.0,23.0,11.0,21.0,94.9,0.1,0.7,1.05,0.425,0.175,0.08499999999999999,2.25,0.015,0.0125,0.015,5.7,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,AWS-E90C-B9-or-E55C-B9-Weld-Metal,190.0,18.0,0.28,75.0,710.0,460.0,270,1460,1410,470,25.0,13.0,6.9,8.0,7.0,7.8,2.6,37,91,110.0,550.0,14.0,25.0,25.0,23.0,6.9,20.0,87.65,0.4,0.6,1.025,0.25,0.1,0.10500000000000001,9.25,0.22499999999999998,0.01,0.0075,13.0,0.060000000000000005,0.05,0.02,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,AWS-E90C-D2-or-E62C-D2-W19230-Weld-Metal,190.0,19.0,0.29,73.0,690.0,620.0,250,1460,1420,470,49.0,13.0,7.3,8.4,2.5,7.8,1.6,21,49,130.0,1010.0,13.0,24.0,25.0,22.0,13.0,20.0,97.05,0.0,1.45,0.5,0.45,0.175,0.06,0.0,0.015,0.0125,0.015,11.585714285714285,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,AWS-E90C-K3-or-E62C-K3-Weld-Metal,190.0,55.0,0.29,73.0,710.0,600.0,250,1460,1410,470,48.0,13.0,7.9,9.0,3.4,7.8,1.7,23,53,370.0,980.0,13.0,24.0,25.0,22.0,13.0,21.0,95.55,1.5,1.525,0.45,0.4,0.175,0.075,0.075,0.015,0.0125,0.0125,10.17142857142857,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,AWS-ER100S-1-or-ER69S-1-K10882-Weld-Metal,190.0,18.0,0.29,73.0,770.0,700.0,250,1460,1410,470,49.0,13.0,7.7,8.9,3.6,7.8,1.8,24,54,130.0,1290.0,13.0,24.0,27.0,24.0,13.0,23.0,95.2,1.75,1.55,0.4,0.375,0.125,0.04,0.15,0.025,0.005,0.005,8.757142857142856,0.0,0.0,0.05,0.05,0.05,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,AWS-ER110S-1-or-ER76S-1-K21015-Weld-Metal,190.0,17.0,0.29,73.0,870.0,740.0,250,1460,1410,470,47.0,13.0,7.7,8.8,4.0,7.8,1.8,25,55,140.0,1460.0,13.0,24.0,31.0,26.0,13.0,26.0,94.55,2.25,1.6,0.4,0.375,0.125,0.045,0.25,0.02,0.005,0.005,7.3428571428571425,0.0,0.0,0.05,0.05,0.05,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
